,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
37,38,BAHORIBAND : BYE- ELECTION ON 21-08-2014,No,Post Graduate,Kunwar Saurabh Singh in Madhya Pradesh 2013,0,Y,INC,57396712,3308473,http://myneta.info/compare_profile.php?group_id=oDZkcafdZyntTtNJy2C5,http://myneta.info/mp2013/candidate.php?candidate_id=2781
38,37,BAHORIBAND,No,Post Graduate,Kunwar Sourabh Singh in Madhya Pradesh 2013,0,Y,BSP,57379320,3566083,http://myneta.info/compare_profile.php?group_id=oDZkcafdZyntTtNJy2C5,http://myneta.info/mp2013/candidate.php?candidate_id=541
39,28,Bahoriband,No,Post Graduate,KUNWAR SAURABH SINGH  in Madhya Pradesh 2008,0,Y,BSP,4498604,650261,http://myneta.info/compare_profile.php?group_id=oDZkcafdZyntTtNJy2C5,http://myneta.info/2008mp/candidate.php?candidate_id=915
40,42,JABALPUR WEST,Yes,12th Pass,Tarun in Madhya Pradesh 2013,8,Y,INC,72012352,14972434,http://myneta.info/compare_profile.php?group_id=AqNWXtvzmU8Ak2YV4j8,http://myneta.info/mp2013/candidate.php?candidate_id=549
41,37,Jabalpur Paschim,Yes,Graduate Professional,TARUN BHANOT in Madhya Pradesh 2008,1,Y,INC,15627345,1898341,http://myneta.info/compare_profile.php?group_id=AqNWXtvzmU8Ak2YV4j8,http://myneta.info/2008mp/candidate.php?candidate_id=204
42,58,SARVEPALLI,No,12th Pass,Chandramohan Reddy Somireddy in Andhra Pradesh 2014,0,Y,TDP,158936129,21389277,http://myneta.info/compare_profile.php?group_id=7GXiT4xHndeFFFCgm37z,http://myneta.info/andhra2014/candidate.php?candidate_id=3515
43,56,KOVUR : BYE ELECTION ON 18-03-2012,No,12th Pass,Somireddy Chandramohan Reddy in Andhra Pradesh Bye Election,0,Y,TDP,56854000,23844344,http://myneta.info/compare_profile.php?group_id=7GXiT4xHndeFFFCgm37z,http://myneta.info/apbye/candidate.php?candidate_id=21
44,61,VELLORE,No,Graduate Professional,C. Gnanasekaran  in Tamil Nadu 2011,0,Y,INC,31358702,0,http://myneta.info/compare_profile.php?group_id=r6vmJEDvUSP9MqZpXLSH,http://myneta.info/tamilnadu2011/candidate.php?candidate_id=316
45,56,Vellore,No,Graduate Professional,GNANASEKARAN.C in Tamil Nadu  2006,0,Y,INC,3237564,2200000,http://myneta.info/compare_profile.php?group_id=r6vmJEDvUSP9MqZpXLSH,http://myneta.info/tn2006/candidate.php?candidate_id=455
46,42,SRIPERUMBUDUR,Yes,Post Graduate,Arul Anbarasu in Loksabha 2014,2,Y,INC,45125593,27706387,http://myneta.info/compare_profile.php?group_id=7sPToRDLwx4cZCVeJVk,http://myneta.info/ls2014/candidate.php?candidate_id=7371
47,40,SHOLINGUR,No,Graduate Professional,Arul Anbarasu  in Tamil Nadu 2011,0,Y,INC,27475000,25300000,http://myneta.info/compare_profile.php?group_id=7sPToRDLwx4cZCVeJVk,http://myneta.info/tamilnadu2011/candidate.php?candidate_id=315
48,61,MADURANTAKAM,No,Post Graduate,K.Jayakumar in Tamil Nadu 2011,0,Y,INC,14907022,0,http://myneta.info/compare_profile.php?group_id=vnHSJX2XKuaVafzoKUr,http://myneta.info/tamilnadu2011/candidate.php?candidate_id=313
49,56,Namakkal,No,Doctorate,JAYAKUMAR.K in Tamil Nadu  2006,0,Y,INC,3182000,0,http://myneta.info/compare_profile.php?group_id=vnHSJX2XKuaVafzoKUr,http://myneta.info/tn2006/candidate.php?candidate_id=231
50,45,VILLUPURAM,Yes,Graduate Professional,C.Ve. Shanmugam in Tamil Nadu 2011,6,Y,AIADMK,5890799,0,http://myneta.info/compare_profile.php?group_id=jR9acSiqSYJgWkvkVtP7,http://myneta.info/tamilnadu2011/candidate.php?candidate_id=319
51,41,Tindivanam,Yes,Graduate Professional,SHANMUGAM. C.VE.  in Tamil Nadu  2006,5,Y,AIADMK,2040763,548000,http://myneta.info/compare_profile.php?group_id=jR9acSiqSYJgWkvkVtP7,http://myneta.info/tn2006/candidate.php?candidate_id=77
52,38,SULTANPUR,Yes,Post Graduate,Mohd. Tahir  Khan in Uttar Pradesh 2012,6,Y,BSP,17936180,211717,http://myneta.info/compare_profile.php?group_id=UNc62EeLi4S53rBDAX,http://myneta.info/up2012/candidate.php?candidate_id=829
53,33,Sultanpur,Yes,12th Pass,MOHD.TAHIR in Lok Sabha 2009,6,Y,BSP,10839346,464965,http://myneta.info/compare_profile.php?group_id=UNc62EeLi4S53rBDAX,http://myneta.info/ls2009/candidate.php?candidate_id=3854
54,65,ISAULI,No,Graduate Professional,Muid Ahmad in Uttar Pradesh 2012,0,Y,INC,13065011,900000,http://myneta.info/compare_profile.php?group_id=qAJwbrUuL4LDAwK5wwwe,http://myneta.info/up2012/candidate.php?candidate_id=823
55,64,Sultanpur,No,Post Graduate,MUID AHMAD in Uttar Pradesh 2007,0,Y,INC,8994582,290000,http://myneta.info/compare_profile.php?group_id=qAJwbrUuL4LDAwK5wwwe,http://myneta.info/up2007/candidate.php?candidate_id=1020
56,57,SINDHKHED RAJA,Yes,Graduate Professional,Khedekar Shashikant Narsingrao in Maharashtra Election 2014,8,Y,SHS,8476836,15000,http://myneta.info/compare_profile.php?group_id=wPSYfBSbrxeGgaYwcKk4,http://myneta.info/maharashtra2014/candidate.php?candidate_id=1219
57,53,Sindkhed Raja,Yes,Graduate Professional,Khedekar Dr. Shashikant Narsingh in Maharashtra 2009,6,Y,SHS,2810119,15000,http://myneta.info/compare_profile.php?group_id=wPSYfBSbrxeGgaYwcKk4,http://myneta.info/mh2009/candidate.php?candidate_id=668
58,47,SINDKHEDRAJA,Yes,Graduate Professional,DR.KHEDEKAR SHASHIKANT NARSINGRAO in Maharashtra 2004,1,Y,SHS,4131088,41887,http://myneta.info/compare_profile.php?group_id=wPSYfBSbrxeGgaYwcKk4,http://myneta.info/mah2004/candidate.php?candidate_id=391
59,63,BANJAR,No,Graduate Professional,Khimi Ram in Himachal Pradesh 2012,0,Y,BJP,72663071,0,http://myneta.info/compare_profile.php?group_id=2d7YMCzttPQhro6Swno,http://myneta.info/hp2012/candidate.php?candidate_id=380
60,57,Banjar,No,Graduate Professional,KHIMI RAM  in Himachal 2007,0,Y,BJP,46603000,0,http://myneta.info/compare_profile.php?group_id=2d7YMCzttPQhro6Swno,http://myneta.info/him2007/candidate.php?candidate_id=13
61,84,THEOG,No,Graduate,Vidya in Himachal Pradesh 2012,0,Y,INC,80511841,1300000,http://myneta.info/compare_profile.php?group_id=dfqhTv4kM9yEw9rUgcWQ,http://myneta.info/hp2012/candidate.php?candidate_id=385
62,80,Kumarsain,No,Not Given,VIDYA  in Himachal 2007,0,Y,INC,9767801,0,http://myneta.info/compare_profile.php?group_id=dfqhTv4kM9yEw9rUgcWQ,http://myneta.info/him2007/candidate.php?candidate_id=127
63,60,TOSHAM,No,Graduate Professional,Ram Niwas in Haryana Election 2014,0,Y,IND,59165921,411792,http://myneta.info/compare_profile.php?group_id=puJzTCKMdchTPFdvet94,http://myneta.info/haryana2014/candidate.php?candidate_id=315
64,58,HISAR :BYE-ELECTION ON 13-10-2011,No,Graduate Professional,Ram Niwas Sharma in Loksabha Bye Election,0,Y,IND,37152794,0,http://myneta.info/compare_profile.php?group_id=puJzTCKMdchTPFdvet94,http://myneta.info/lsbyelection/candidate.php?candidate_id=32
65,55,Panchkula,No,Graduate Professional,RAM NIWAS in Haryana 2009,0,Y,SP,36171314,2887900,http://myneta.info/compare_profile.php?group_id=puJzTCKMdchTPFdvet94,http://myneta.info/ha2009/candidate.php?candidate_id=30
66,50,Hissar,No,Graduate Professional,RAMNIWAS in Lok Sabha 2004,0,Y,SP,4088515,0,http://myneta.info/compare_profile.php?group_id=puJzTCKMdchTPFdvet94,http://myneta.info/loksabha2004/candidate.php?candidate_id=1245
67,59,KOPPAL,Yes,10th Pass,Sanganna A. Karadi in Loksabha 2014,1,Y,BJP,12127000,6848000,http://myneta.info/compare_profile.php?group_id=dNgjdyPFWMx2B7nq9vQb,http://myneta.info/ls2014/candidate.php?candidate_id=1186
68,59,KOPPAL,Yes,10th Pass,Sanganna Amarappa Karadi in Karnataka 2013,1,Y,BJP,11875000,2798000,http://myneta.info/compare_profile.php?group_id=dNgjdyPFWMx2B7nq9vQb,http://myneta.info/karnataka2013/candidate.php?candidate_id=99
