,HHinc,HHDeclarations,self_declare,self_inc
candidate.php?candidate_id=155,5822301.0,3,Y,2102523.0
candidate.php?candidate_id=1550,,0,,
candidate.php?candidate_id=1551,,0,,
candidate.php?candidate_id=1552,,0,,
candidate.php?candidate_id=1553,0.0,1,Y,0.0
candidate.php?candidate_id=1554,,0,,
candidate.php?candidate_id=1555,,0,,
candidate.php?candidate_id=1556,0.0,1,Y,0.0
candidate.php?candidate_id=1557,,0,,
candidate.php?candidate_id=1558,,0,,
candidate.php?candidate_id=1559,,0,,
candidate.php?candidate_id=156,0.0,1,Y,0.0
candidate.php?candidate_id=1560,0.0,1,Y,0.0
candidate.php?candidate_id=1561,,0,,
candidate.php?candidate_id=1562,,0,,
candidate.php?candidate_id=1563,,0,,
candidate.php?candidate_id=1564,,0,,
candidate.php?candidate_id=1565,,0,,
candidate.php?candidate_id=1566,,0,,
candidate.php?candidate_id=1567,3485596.0,2,Y,2739543.0
candidate.php?candidate_id=1568,,0,,
candidate.php?candidate_id=1569,0.0,1,Y,0.0
candidate.php?candidate_id=157,0.0,2,Y,0.0
candidate.php?candidate_id=1570,206600.0,1,Y,206600.0
