,Age,Constituency,Criminal_Cases,Education_Level,Name,Number_of_Cases,PAN_Given_(Y_or_N),Party_Code,Total_Assets,Total_Liabilities,common_link,elec_link
5028,30,Jalore,Yes,5th Pass,GOPAL RAM in Lok Sabha 2009,1,Y,IND,3442000,0,http://myneta.info/compare_profile.php?group_id=xiarKxsL3XsiYWh6FBgQ,http://myneta.info/ls2009/candidate.php?candidate_id=6351
5029,32,Jalore,No,10th Pass,GANGA  SINGH in Lok Sabha 2009,0,Y,SP,2530820,1110,http://myneta.info/compare_profile.php?group_id=tb53SeKZADKKraAbNBY2,http://myneta.info/ls2009/candidate.php?candidate_id=6350
5030,26,SHAHDOL,No,Post Graduate,Er. Vijay Kumar Kol in Loksabha 2014,0,Y,AAP,180118,0,http://myneta.info/compare_profile.php?group_id=qg6LJXrZ2695tSnpiTQA,http://myneta.info/ls2014/candidate.php?candidate_id=746
5031,26,BANDHAVGARH,No,Post Graduate,Vijay in Madhya Pradesh 2013,0,Y,IND,47300,0,http://myneta.info/compare_profile.php?group_id=qg6LJXrZ2695tSnpiTQA,http://myneta.info/mp2013/candidate.php?candidate_id=536
5032,48,HAMIRPUR,No,Graduate,Rajinder Singh Rana S/O Late Shri Sukh Ram in Loksabha 2014,0,Y,INC,228697768,21000,http://myneta.info/compare_profile.php?group_id=3yivwvN3Dm2uAt8rbWap,http://myneta.info/ls2014/candidate.php?candidate_id=7996
5033,46,SUJANPUR,No,Graduate,Rajinder Singh in Himachal Pradesh 2012,0,Y,IND,223187546,0,http://myneta.info/compare_profile.php?group_id=3yivwvN3Dm2uAt8rbWap,http://myneta.info/hp2012/candidate.php?candidate_id=122
5034,39,HAMIRPUR,Yes,Graduate,Anurag Singh Thakur in Loksabha 2014,10,Y,BJP,46535803,2074555,http://myneta.info/compare_profile.php?group_id=b9cFqDQJeRdyRMFKwYZ,http://myneta.info/ls2014/candidate.php?candidate_id=7997
5035,34,Hamirpur,No,Graduate,ANURAG SINGH THAKUR in Lok Sabha 2009,0,Y,BJP,24150103,2504550,http://myneta.info/compare_profile.php?group_id=b9cFqDQJeRdyRMFKwYZ,http://myneta.info/ls2009/candidate.php?candidate_id=7833
5036,79,BARAMULLA,No,Post Graduate,Sharief-Ud-Din Shariq in Loksabha 2014,0,Y,JKNC,32214421,500000,http://myneta.info/compare_profile.php?group_id=spYTxzMQDU9Pqj8h4d3F,http://myneta.info/ls2014/candidate.php?candidate_id=7993
5037,74,Baramulla,No,Post Graduate,SHARIEF UD DIN SHARIQ in Lok Sabha 2009,0,N,JKN,11955000,1310000,http://myneta.info/compare_profile.php?group_id=spYTxzMQDU9Pqj8h4d3F,http://myneta.info/ls2009/candidate.php?candidate_id=7848
